policy,deadline_miss_rate,eff_pck20,ontime_pck20,mean_rank,switches,mean_eff_latency_ms
fixed_r2,0.0,24.836278915405273,24.836278915405273,2.0,0,10.177589354909708
fixed_r8,0.906441717791411,2.1390228271484375,22.862998962402344,16.0,0,77.0295182777798
reactive,0.138420245398773,22.963987350463867,26.653352737426758,5.955010224948875,2164,21.47022070220429
proactive,0.01827709611451943,25.970762252807617,26.454267501831055,5.234918200408998,155,18.184372911302777
oracle,0.0,27.22742462158203,27.22742462158203,6.443251533742331,3295,22.757287639386256
