rank,mpjpe_mm,pck50,pck100,params,predict_us_per_sample
4,450.1551513671875,6.640150259639818,23.014031598718372,1700937,57.34732053303848
8,450.717041015625,6.89979007844437,23.674179648657606,1700937,82.912319681945
16,446.2633056640625,7.333443818362611,24.516627996906422,1700937,75.59390189752777
24,441.0428161621094,6.300408794608331,23.223953154347583,1700937,71.68479603754857
