rank,pck_20,pck_10,pck_30,pck_40,pck_50,mpjpe,params,predict_us_per_sample
2,52.13872470838415,24.876838561049087,67.98031918774953,77.5963974106389,83.9132293002262,0.19615058600902557,66408,12.08991335149397
4,52.91803483753949,25.86108765675329,68.43606342058355,77.8886908298673,84.15965641971835,0.1942533701658249,66408,13.035669957157063
6,53.467804984832846,26.557421480022096,68.71188666854302,78.03650540492646,84.21427901304062,0.19319787621498108,66408,12.71020726026974
8,53.65752467919651,26.911217437533224,68.74274217927469,78.04442776578999,84.18509136775391,0.19286534190177917,66408,12.389299148324321
