policy,deadline_miss_rate,eff_pck20,ontime_pck20,mean_rank,switches,mean_eff_latency_ms
fixed_r2,0.06339468302658487,23.66801643371582,25.270000457763672,2.0,0,10.177589354909708
fixed_r8,1.0,0.0,0.0,16.0,0,77.0295182777798
reactive,0.19414621676891616,21.283260345458984,26.410823822021484,4.1405930470347645,2137,15.673941306132518
proactive,0.07476993865030675,24.5129451751709,26.4938907623291,3.6896728016359917,91,13.990035029073765
oracle,0.06339468302658487,25.064970016479492,26.76150894165039,4.093558282208589,1546,15.114569557592462
