policy,deadline_miss_rate,eff_pck20,ontime_pck20,mean_rank,switches,mean_eff_latency_ms
fixed_r2,0.04178628389154705,49.83957290649414,52.01300048828125,2.0,0,6.28393367210037
fixed_r8,0.6181818181818182,19.69123649597168,51.572288513183594,8.0,0,23.497615226871048
reactive,0.1318093212830055,45.70076370239258,52.63908386230469,4.833670033670034,5346,11.028809761667986
proactive,0.04766967924862662,50.19795227050781,52.71065139770508,4.431047315257842,123,9.877176634494003
oracle,0.04178628389154705,50.67829895019531,52.8883056640625,5.140811625022152,8357,11.47791713762319
