policy,deadline_miss_rate,eff_pck20,ontime_pck20,mean_rank,switches,mean_eff_latency_ms
fixed_r2,0.0,24.836278915405273,24.836278915405273,2.0,0,10.177589354909708
fixed_r8,0.8126278118609407,5.059067249298096,27.00009536743164,16.0,0,77.0295182777798
reactive,0.13049591002044988,23.633325576782227,27.18023681640625,7.7975460122699385,2040,28.506030732129627
proactive,0.0543200408997955,26.28816032409668,27.798158645629883,7.536298568507157,219,27.758113627808644
oracle,0.0,27.845487594604492,27.845487594604492,8.326431492842536,2698,29.903845907320893
