policy,deadline_miss_rate,eff_pck20,ontime_pck20,mean_rank,switches,mean_eff_latency_ms
fixed_r2,0.0,24.836278915405273,24.836278915405273,2.0,0,5.404549614151187
fixed_r8,0.817101226993865,4.901432991027832,26.79861068725586,16.0,0,38.84520035171165
reactive,0.12972903885480572,23.53168487548828,27.039493560791016,7.699130879345604,2028,14.371794748536285
proactive,0.0570040899795501,26.078336715698242,27.65477180480957,7.3739775051124745,283,13.878123238739793
oracle,0.0,27.823272705078125,27.823272705078125,8.240286298568508,2716,15.089326956556949
