policy,deadline_miss_rate,eff_pck20,ontime_pck20,mean_rank,switches,mean_eff_latency_ms
fixed_r2,0.0,24.836278915405273,24.836278915405273,2.0,0,10.177589354909708
fixed_r8,0.575920245398773,13.257133483886719,31.260942459106445,16.0,0,77.0295182777798
reactive,0.09662576687116564,25.757286071777344,28.51230812072754,10.360940695296524,1511,40.39473439358923
proactive,0.02773517382413088,27.509830474853516,28.294584274291992,9.736707566462167,211,36.426367318563635
oracle,0.0,28.59318733215332,28.59318733215332,11.341002044989775,2907,44.06433402702796
