policy,deadline_miss_rate,eff_pck20,ontime_pck20,mean_rank,switches,mean_eff_latency_ms
fixed_r2,0.0,24.836278915405273,24.836278915405273,2.0,0,7.791069484530447
fixed_r8,0.9360940695296524,1.578324317932129,24.69761848449707,16.0,0,57.93735931474573
reactive,0.14544989775051126,22.473434448242188,26.298555374145508,5.536554192229039,2274,15.030523895774532
proactive,0.011886503067484663,25.887073516845703,26.198482513427734,4.707566462167689,217,12.569093969472389
oracle,0.0,26.836076736450195,26.836076736450195,5.674846625766871,2375,15.14661787238644
