policy,deadline_miss_rate,eff_pck20,ontime_pck20,mean_rank,switches,mean_eff_latency_ms
fixed_r2,0.08959773170299486,47.34507369995117,52.00456619262695,2.0,0,6.28393367210037
fixed_r8,0.758816232500443,11.864360809326172,49.192203521728516,8.0,0,23.497615226871048
reactive,0.1769271664008506,43.28944778442383,52.59491729736328,4.301825270246323,5216,9.789798007386986
proactive,0.09565833776360091,47.502685546875,52.527366638183594,3.6456494772284245,875,8.442160853939344
oracle,0.08959773170299486,48.001373291015625,52.72545623779297,4.437001594896332,4321,9.815635644776032
