policy,deadline_miss_rate,eff_pck20,ontime_pck20,mean_rank,switches,mean_eff_latency_ms
fixed_r2,0.18583844580777095,20.674177169799805,25.39321517944336,2.0,0,10.177589354909708
fixed_r8,1.0,0.0,0.0,16.0,0,77.0295182777798
reactive,0.2809304703476483,19.040164947509766,26.47888946533203,3.2581799591002043,1589,13.153121668823932
proactive,0.18839468302658488,21.437397003173828,26.413572311401367,2.890081799591002,13,11.992359970813013
oracle,0.18583844580777095,21.629417419433594,26.566495895385742,3.173824130879346,1036,12.716054615576185
