rank,mpjpe_mm,pck100,pck50,pck150,params,predict_us_per_sample
2,333.2071228027344,20.29164934033947,5.927494046043927,33.04209352436396,943603,87.39610269269572
4,313.22418212890625,22.07263826409103,6.537538275431897,35.51723812044003,943603,63.552355473758254
8,307.1494140625,22.720485389180812,6.6774089895285975,36.58516992401618,943603,112.01757472960739
12,293.30218505859375,24.492023589006916,7.430159150190904,38.50177673609799,943603,56.42478573297918
16,288.8123779296875,24.67584016935697,7.425906324424451,38.87224511397573,943603,57.2715312669126
