policy,deadline_miss_rate,eff_pck20,ontime_pck20,mean_rank,switches,mean_eff_latency_ms
fixed_r2,0.45199362041467306,28.225704193115234,51.506160736083984,2.0,0,6.28393367210037
fixed_r8,1.0,0.0,0.0,8.0,0,23.497615226871048
reactive,0.529611908559277,24.35291862487793,51.77197265625,2.7136629452418926,4520,7.1277460891671
proactive,0.4526670210880737,28.224660873413086,51.567626953125,2.16140350877193,243,6.440239530858205
oracle,0.45199362041467306,28.345582962036133,51.72491455078125,2.6044302675881625,548,6.931366979109241
