policy,deadline_miss_rate,eff_pck20,ontime_pck20,mean_rank,switches,mean_eff_latency_ms
fixed_r2,0.0,52.13872528076172,52.13872528076172,2.0,0,6.28393367210037
fixed_r8,0.5036682615629984,26.145458221435547,52.67738723754883,8.0,0,23.497615226871048
reactive,0.0835725677830941,48.57157516479492,53.001007080078125,5.588587630692894,4718,13.215372353715729
proactive,0.025234804182172603,51.6623420715332,52.999778747558594,5.382952330320752,558,12.340224487557677
oracle,0.0,53.25494384765625,53.25494384765625,5.977529682792841,8700,14.096874754123075
